county,indicator,Unit,Date,Value
Lamu,Postneonatal mortality rate,,2014,24
Lamu,Postneonatal mortality rate,,2022,15
Lamu,Neonatal mortality rate,,2014,34
Lamu,Neonatal mortality rate,,2022,26
Mombasa,Under-five mortality rate,,2014,52
Mombasa,Under-five mortality rate,,2022,50
Mombasa,Child mortality rate,,2014,10
Mombasa,Child mortality rate,,2022,8
Mombasa,Infant mortality rate,,2014,43
Mombasa,Infant mortality rate,,2022,43
Mombasa,Postneonatal mortality rate,,2014,18
Mombasa,Postneonatal mortality rate,,2022,10
Mombasa,Neonatal mortality rate,,2014,25
Mombasa,Neonatal mortality rate,,2022,32
Tana River,Under-five mortality rate,,2014,72
Tana River,Under-five mortality rate,,2022,45
Tana River,Child mortality rate,,2014,21
Tana River,Child mortality rate,,2022,8
Tana River,Infant mortality rate,,2014,52
Tana River,Infant mortality rate,,2022,38
Tana River,Postneonatal mortality rate,,2014,13
Tana River,Postneonatal mortality rate,,2022,14
Tana River,Neonatal mortality rate,,2014,39
Tana River,Neonatal mortality rate,,2022,23
Taita Taveta,Under-five mortality rate,,2014,48
Taita Taveta,Under-five mortality rate,,2022,29
Taita Taveta,Child mortality rate,,2014,17
Taita Taveta,Child mortality rate,,2022,6
Taita Taveta,Infant mortality rate,,2014,31
Taita Taveta,Infant mortality rate,,2022,24
Taita Taveta,Postneonatal mortality rate,,2014,17
Taita Taveta,Postneonatal mortality rate,,2022,5
Taita Taveta,Neonatal mortality rate,,2014,14
Taita Taveta,Neonatal mortality rate,,2022,19
Eastern,Under-five mortality rate,,1989,64
Eastern,Under-five mortality rate,,1993,66
Eastern,Under-five mortality rate,,1998,78
Eastern,Under-five mortality rate,,2003,84
Eastern,Under-five mortality rate,,2008,52
Eastern,Under-five mortality rate,,2014,45
Eastern,Under-five mortality rate,,2022,34
Eastern,Child mortality rate,,1989,22
Eastern,Child mortality rate,,1993,19
Eastern,Child mortality rate,,1998,26
Eastern,Child mortality rate,,2003,29
Eastern,Child mortality rate,,2008,14
Eastern,Child mortality rate,,2014,9
Eastern,Child mortality rate,,2022,6
Eastern,Infant mortality rate,,1989,43
Eastern,Infant mortality rate,,1993,47
Eastern,Infant mortality rate,,1998,53
Eastern,Infant mortality rate,,2003,56
Eastern,Infant mortality rate,,2008,39
Eastern,Infant mortality rate,,2014,36
Eastern,Infant mortality rate,,2022,28
Eastern,Postneonatal mortality rate,,1989,20
Eastern,Postneonatal mortality rate,,1993,23
Eastern,Postneonatal mortality rate,,1998,31
Eastern,Postneonatal mortality rate,,2003,24
Eastern,Postneonatal mortality rate,,2008,8
Eastern,Postneonatal mortality rate,,2014,12
Eastern,Postneonatal mortality rate,,2022,8
Eastern,Neonatal mortality rate,,1989,23
Eastern,Neonatal mortality rate,,1993,24
Eastern,Neonatal mortality rate,,1998,23
Eastern,Neonatal mortality rate,,2003,32
Eastern,Neonatal mortality rate,,2008,31
Eastern,Neonatal mortality rate,,2014,24
Eastern,Neonatal mortality rate,,2022,20
Embu,Under-five mortality rate,,2014,59
Embu,Under-five mortality rate,,2022,44
Embu,Child mortality rate,,2014,17
Embu,Child mortality rate,,2022,8
Embu,Infant mortality rate,,2014,43
Embu,Infant mortality rate,,2022,36
Embu,Postneonatal mortality rate,,2014,21
Embu,Postneonatal mortality rate,,2022,11
Embu,Neonatal mortality rate,,2014,22
Embu,Neonatal mortality rate,,2022,24
Isiolo,Under-five mortality rate,,2014,36
Isiolo,Under-five mortality rate,,2022,33
Isiolo,Child mortality rate,,2014,7
Isiolo,Child mortality rate,,2022,9
Isiolo,Infant mortality rate,,2014,29
Isiolo,Infant mortality rate,,2022,24
Isiolo,Postneonatal mortality rate,,2014,11
Isiolo,Postneonatal mortality rate,,2022,2
Isiolo,Neonatal mortality rate,,2014,18
Isiolo,Neonatal mortality rate,,2022,22
Kitui,Under-five mortality rate,,2014,35
Kitui,Under-five mortality rate,,2022,27
Kitui,Child mortality rate,,2014,7
Kitui,Child mortality rate,,2022,4
Kitui,Infant mortality rate,,2014,28
Kitui,Infant mortality rate,,2022,23
Kitui,Postneonatal mortality rate,,2014,10
Kitui,Postneonatal mortality rate,,2022,9
Kitui,Neonatal mortality rate,,2014,18
Kitui,Neonatal mortality rate,,2022,13
Makueni,Under-five mortality rate,,2014,27
Makueni,Under-five mortality rate,,2022,38
Makueni,Child mortality rate,,2014,7
Makueni,Child mortality rate,,2022,3
Makueni,Infant mortality rate,,2014,20
Makueni,Infant mortality rate,,2022,35
Makueni,Postneonatal mortality rate,,2014,9
Makueni,Postneonatal mortality rate,,2022,9
Makueni,Neonatal mortality rate,,2014,11
Makueni,Neonatal mortality rate,,2022,26
Marsabit,Under-five mortality rate,,2014,38
Marsabit,Under-five mortality rate,,2022,15
Marsabit,Child mortality rate,,2014,7
Marsabit,Child mortality rate,,2022,6
Marsabit,Infant mortality rate,,2014,30
Marsabit,Infant mortality rate,,2022,9
Marsabit,Postneonatal mortality rate,,2014,8
Marsabit,Postneonatal mortality rate,,2022,5
Marsabit,Neonatal mortality rate,,2014,22
Marsabit,Neonatal mortality rate,,2022,4
Machakos,Under-five mortality rate,,2014,39
Machakos,Under-five mortality rate,,2022,41
Machakos,Child mortality rate,,2014,4
Machakos,Child mortality rate,,2022,7
Machakos,Infant mortality rate,,2014,36
Machakos,Infant mortality rate,,2022,34
Machakos,Postneonatal mortality rate,,2014,9
Machakos,Postneonatal mortality rate,,2022,8
Machakos,Neonatal mortality rate,,2014,27
Machakos,Neonatal mortality rate,,2022,26
Meru,Under-five mortality rate,,2014,67
Meru,Under-five mortality rate,,2022,35
Meru,Child mortality rate,,2014,16
Meru,Child mortality rate,,2022,6
Meru,Infant mortality rate,,2014,52
Meru,Infant mortality rate,,2022,29
Meru,Postneonatal mortality rate,,2014,16
Meru,Postneonatal mortality rate,,2022,9
Meru,Neonatal mortality rate,,2014,37
Meru,Neonatal mortality rate,,2022,20
Tharaka-Nithi,Under-five mortality rate,,2014,41
Tharaka-Nithi,Under-five mortality rate,,2022,25
Tharaka-Nithi,Child mortality rate,,2014,8
Tharaka-Nithi,Child mortality rate,,2022,6
Tharaka-Nithi,Infant mortality rate,,2014,33
Tharaka-Nithi,Infant mortality rate,,2022,19
Tharaka-Nithi,Postneonatal mortality rate,,2014,14
Tharaka-Nithi,Postneonatal mortality rate,,2022,7
Tharaka-Nithi,Neonatal mortality rate,,2014,19
Tharaka-Nithi,Neonatal mortality rate,,2022,12
North Eastern,Under-five mortality rate,,2003,163
North Eastern,Under-five mortality rate,,2008,80
North Eastern,Under-five mortality rate,,2014,44
North Eastern,Under-five mortality rate,,2022,39
North Eastern,Child mortality rate,,2003,79
